	source	book	book_number	chapter	starting_verse	ending_verse	ten_commandments	hammurabi_law	hammurabi_epilogue	preamble	article	bill_of_rights	amendment	ethic
0	Mosaic	Genesis	1	1	28		False	False	False	False	False	False	False	And God blessed them, and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it: and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that moveth upon the earth.
1	Mosaic	Genesis	1	32	32		False	False	False	False	False	False	False	Therefore the children of Israel eat not of the sinew which shrank, which is upon the hollow of the thigh, unto this day: because he touched the hollow of Jacob's thigh in the sinew that shrank.
2	Mosaic	Exodus	2	12	2		False	False	False	False	False	False	False	This month shall be unto you the beginning of months: it shall be the first month of the year to you.
3	Mosaic	Exodus	2	12	6		False	False	False	False	False	False	False	And ye shall keep it up until the fourteenth day of the same month: and the whole assembly of the congregation of Israel shall kill it in the evening.
4	Mosaic	Exodus	2	12	8		False	False	False	False	False	False	False	And they shall eat the flesh in that night, roast with fire, and unleavened bread; and with bitter herbs they shall eat it.
5	Mosaic	Exodus	2	12	9		False	False	False	False	False	False	False	Eat not of it raw, nor sodden at all with water, but roast with fire; his head with his legs, and with the purtenance thereof.
6	Mosaic	Exodus	2	12	10		False	False	False	False	False	False	False	And ye shall let nothing of it remain until the morning; and that which remaineth of it until the morning ye shall burn with fire.
7	Mosaic	Exodus	2	12	15		False	False	False	False	False	False	False	Seven days shall ye eat unleavened bread; even the first day ye shall put away leaven out of your houses: for whosoever eateth leavened bread from the first day until the seventh day, that soul shall be cut off from Israel.
8	Mosaic	Exodus	2	12	18		False	False	False	False	False	False	False	In the first month, on the fourteenth day of the month at even, ye shall eat unleavened bread, until the one and twentieth day of the month at even.
9	Mosaic	Exodus	2	12	19		False	False	False	False	False	False	False	Seven days shall there be no leaven found in your houses: for whosoever eateth that which is leavened, even that soul shall be cut off from the congregation of Israel, whether he be a stranger, or born in the land.
10	Mosaic	Exodus	2	12	20		False	False	False	False	False	False	False	Ye shall eat nothing leavened; in all your habitations shall ye eat unleavened bread.
11	Mosaic	Exodus	2	12	43		False	False	False	False	False	False	False	And the Lord said unto Moses and Aaron, This is the ordinance of the passover: There shall no stranger eat thereof:
12	Mosaic	Exodus	2	12	45		False	False	False	False	False	False	False	A foreigner and an hired servant shall not eat thereof.
13	Mosaic	Exodus	2	12	46		False	False	False	False	False	False	False	In one house shall it be eaten; thou shalt not carry forth ought of the flesh abroad out of the house; neither shall ye break a bone thereof.
14	Mosaic	Exodus	2	12	48		False	False	False	False	False	False	False	And when a stranger shall sojourn with thee, and will keep the passover to the Lord, let all his males be circumcised, and then let him come near and keep it; and he shall be as one that is born in the land: for no uncircumcised person shall eat thereof.
15	Mosaic	Exodus	2	13	3		False	False	False	False	False	False	False	And Moses said unto the people, Remember this day, in which ye came out from Egypt, out of the house of bondage; for by strength of hand the Lord brought you out from this place: there shall no leavened bread be eaten.
16	Mosaic	Exodus	2	13	7		False	False	False	False	False	False	False	Unleavened bread shall be eaten seven days; and there shall no leavened bread be seen with thee, neither shall there be leaven seen with thee in all thy quarters.
17	Mosaic	Exodus	2	13	8		False	False	False	False	False	False	False	And thou shalt shew thy son in that day, saying, This is done because of that which the Lord did unto me when I came forth out of Egypt.
